"site_code","year_trt","LRR_avg_richness","LRR_beta_invsimpsons","LRR_spp_asynch_cover","LRR_spp_stab_cover","LRR_alpha_stab_cover","LRR_alpha_stab_prod","LRR_gamma_stab_prod","LRR_spatial_asynch_prod"
"bogong.au","4",0,0.298071129577435,-0.0112098561595525,0.0719781041420058,0.0607682479824534,0.0868734240588459,-0.315319797962928,-0.402193222021774
"bogong.au","5",-0.0111318403688442,0.315555145634346,0.00721555248718831,0.0457872329130557,0.0530027854002442,0.0773731239126968,-0.233773262612287,-0.311146386524984
"bogong.au","6",-0.027995607489427,0.338528915381332,0.00250876744031161,-0.0346842742451655,-0.0321755068048539,0.108454829879393,-0.237136708888912,-0.345591538768305
"bogong.au","7",-0.0399520510117149,0.348526187486101,-0.0258281793890788,-0.0740131673688776,-0.0998413467579565,0.0743197926874635,-0.241027965835427,-0.315347758522891
"bogong.au","8",-0.0443479904543084,0.337513000421465,-0.00535929757748139,-0.128589511839838,-0.133948809417319,-0.243824699316667,-0.611954391798795,-0.368129692482129
"bogong.au","9",-0.0648084631016884,0.337075957542937,0.0641591662097621,-0.172161843007422,-0.108002676797659,-0.214890047605437,-0.598449842386195,-0.383559794780759
"burrawan.au","4",-0.0180185055026785,0.129162793267451,-0.166459041640387,-0.205780828015659,-0.372239869656046,-0.459521520906969,-0.621660797607449,-0.16213927670048
"burrawan.au","5",0.0145987994211526,0.151723632851205,-0.0961807899970436,-0.25765805570727,-0.353838845704314,-0.192848789288642,-0.0238334496935119,0.16901533959513
"burrawan.au","6",0.0250013022054172,0.124188692875156,-0.0977080602889888,-0.240156829748475,-0.337864890037464,-0.316693501991435,-0.279551389042486,0.0371421129489498
"burrawan.au","7",0.0167134809737405,0.154512785521478,-0.041147473923054,-0.282941346907053,-0.324088820830107,-0.22802002229718,-0.250806106180096,-0.0227860838829152
"burrawan.au","8",0.0145281005629098,0.136914212451886,-0.0714340748169796,-0.243574373876313,-0.315008448693292,-0.109735021965725,-0.33208731537008,-0.222352293404356
"burrawan.au","9",0.0347861160854156,0.11564446263268,-0.0333298457564556,-0.256804558482383,-0.290134404238839,-0.141282629588425,-0.332829279826527,-0.191546650238102
"cbgb.us","4",-0.0725706928348355,0.691427946105757,0.402106819091904,-0.249651908918404,0.152454910173501,0.149475266569856,-0.232120083300421,-0.381595349870278
"cbgb.us","5",-0.144934024722334,0.72357929164878,0.191226951994461,-0.197181153854595,-0.00595420186013495,0.0600056930948896,-0.228562670296974,-0.288568363391864
"cbgb.us","6",-0.224768247041212,0.710480055536639,-0.069792487053063,-0.207393557159062,-0.277186044212125,0.0700238365620288,-0.153086856066579,-0.223110692628608
"cbgb.us","7",-0.242140052004865,0.647439645460004,0.025326382751083,-0.233069200817401,-0.207742818066318,0.0165639893800065,-0.195936924875458,-0.212500914255464
"cbgb.us","8",-0.296731907971699,0.641968128680769,0.0918627888149832,-0.261378383205703,-0.16951559439072,-0.0775193548475078,-0.235029624588142,-0.157510269740634
"cdcr.us","4",-0.581507209417276,-0.10617130009531,0.0331603192178892,-0.037774429421031,-0.00461411020314193,-0.0507784911038405,-0.165480086752089,-0.114701595648249
"cdcr.us","5",-0.611597313595837,-0.0832913507461484,0.038415870224803,0.0280319405826016,0.0664478108074046,0.119577091968026,-0.158838274477929,-0.278415366445955
"cdcr.us","6",-0.58020676937935,-0.0449569833488972,0.0580880377635723,-0.00993143462144802,0.0481566031421242,0.160345733483826,-0.0737760419245949,-0.234121775408421
"cdcr.us","7",-0.554996842079128,-0.0450406610463109,0.133431700123524,-0.13359284564628,-0.000161145522756454,0.121472732692212,-0.0706843088226175,-0.19215704151483
"cdcr.us","8",-0.505442030682518,-0.0564134958642595,0.124361485987264,-0.21343807023056,-0.0890765842432962,0.18873913461535,-0.0418019644357797,-0.23054109905113
"cdcr.us","9",-0.480126636877184,-0.0288415348360674,0.0803710942309299,-0.16149877217327,-0.0811276779423401,0.178518992958672,-0.0477779887958556,-0.226296981754528
"cdpt.us","4",-0.133531392624523,-0.00358703396441204,0.66339275768622,-0.579954366200711,0.0834383914855087,-0.209736652129396,-0.118067294391605,0.0916693577377919
"cdpt.us","5",-0.167615409404259,0.00220209455796623,0.506337336885104,-0.436922246431364,0.0694150904537392,-0.299539791128426,-0.23306731823645,0.0664724728919764
"cdpt.us","6",-0.200126181427461,-0.034593425589659,0.492546429076947,-0.407683022395138,0.0848634066818082,-0.330078797493795,-0.255019489848664,0.0750593076451315
"cdpt.us","7",-0.230682628487376,-0.0336538595318524,0.397860478041053,-0.395241231498711,0.00261924654234204,-0.326067144146225,-0.268463707972213,0.0576034361740119
"cdpt.us","8",-0.20735130485979,0.0103201502369872,0.360833856583918,-0.374151606033792,-0.0133177494498741,-0.285757872383539,-0.253281301583836,0.0324765707997024
"cdpt.us","9",-0.190882689095988,-0.00404908392882367,0.334757428677949,-0.35935816447865,-0.0246007358007009,-0.253345498975831,-0.240209074117199,0.0131364248586309
"chilcas.ar","4",-0.693147180559945,0.0378916578736761,-0.806730985374015,0.71891620652281,-0.0878147788512042,0.0923767544581231,0.794478125185009,0.702101370726886
"chilcas.ar","5",-0.65232518603969,0.0485375682967088,-0.868465363689501,0.722497388051368,-0.145967975638133,0.214269821123542,0.931038011570577,0.716768190447035
"chilcas.ar","6",-0.654432668379255,0.0491834765391331,-0.622002951421828,0.745468399747619,0.123465448325792,0.170626361663375,0.546908901625296,0.37628253996192
"comp.pt","4",-0.312634122065271,0.0361015993511274,-0.245932439598824,-0.356404283291553,-0.602336722890378,-0.0777827548595368,-0.229709972846972,-0.151927217987435
"comp.pt","5",-0.303682413798222,0.0595458431286322,0.521147268308857,-0.397007430546321,0.124139837762537,-0.0241547198910652,-0.175404120033597,-0.151249400142532
"comp.pt","6",-0.318453731118535,0.0141910357934523,0.436398637277172,-0.293132094989609,0.143266542287563,0.000453942007422091,-0.104057626617031,-0.104511568624453
"comp.pt","7",-0.366104034227584,0.0125285859061079,0.495360781107579,-0.304657100620823,0.190703680486757,0.214965892989799,0.213660219658065,-0.00130567333173435
"cowi.ca","4",-0.214409871345455,0.00148419050987633,0.421657754420985,0.554602829822017,0.976260584243002,-0.0677566145801165,-0.0884900750123872,-0.0207334604322706
"cowi.ca","5",-0.287682072451781,-0.00699160149746743,0.117745272303247,0.787916883051187,0.905662155354434,-0.248708453760731,-0.299468434472808,-0.050759980712077
"cowi.ca","6",-0.279584862219161,-0.00627124203732851,0.137067046445644,0.81047420522156,0.947541251667204,-0.130152289691292,-0.17818188200635,-0.0480295923150584
"cowi.ca","7",-0.287682072451781,-0.00155007177614116,0.141192241079602,0.904866612072832,1.04605885315243,-0.0380063541342168,-0.0783662351369057,-0.0403598810026892
"cowi.ca","8",-0.284512497690502,0.00020577364623113,0.213756300058888,0.987933200208879,1.20168950026777,0.0102406033767536,-0.0258292328872539,-0.0360698362640075
"cowi.ca","9",-0.316337328212157,-0.00149518823504665,0.214820240516343,0.960413801624893,1.17523404214124,0.00706464831116231,-0.025217371598787,-0.0322820199099494
"elliot.us","4",-0.341170757402767,0.124313779367172,-0.148547946396459,-0.0418721707763985,-0.190420117172857,-0.422463407121895,-0.80486693324816,-0.382403526126265
"elliot.us","5",-0.392806711236241,0.19482844168433,0.0835843494308561,-0.181842145538448,-0.0982577961075917,-0.0687206214463982,-0.271488466508611,-0.202767845062212
"frue.ch","4",-0.162166754815494,0.0111090714380712,0.305245625144123,-0.10300612175061,0.202239503393513,0.17163834008758,0.202711496138437,0.0310731560508571
"frue.ch","5",-0.189241999638528,0.0411607424641579,0.403482642848246,-0.162802976235259,0.240679666612987,0.19361456556489,0.189133631305292,-0.00448093425959851
"frue.ch","6",-0.182321556793955,-0.0544191454115331,0.398978141404732,-0.0620211496621216,0.336956991742611,0.00142270400180635,-0.00274253293119087,-0.00416523693299705
"frue.ch","7",-0.174685282268966,-0.0445254955796967,0.40133766745326,-0.0258143134872351,0.375523353966025,0.0871604875658393,0.0964892952848628,0.00932880771902359
"hall.us","4",-0.0408219945202552,0.0144482564971936,0.825893569133291,0.0248113864940927,0.850704955627384,0.0450156466200476,0.67130382794971,0.626288181329662
"hall.us","5",-0.059898141581069,-0.0771718104062974,0.655776767249207,0.145746002003735,0.801522769252942,0.0935009078652748,0.441350114607596,0.347849206742321
"hall.us","6",-0.140772553881082,-0.102985345014845,0.550075767053244,0.268162050863917,0.818237817917161,0.0614249694218392,0.343291558653207,0.281866589231368
"hall.us","7",-0.189620859275566,-0.111115015214838,0.537684284665376,0.32943221600683,0.867116500672206,0.111510250991354,0.387227537672758,0.275717286681404
"hart.us","4",0.0370412716803489,-0.0954201934908247,-0.173548639751018,0.0746064830939983,-0.0989421566570197,-0.0383104064451068,0.111813926883298,0.150124333328405
"hart.us","5",0.0157483569681391,-0.0519574249860214,-0.0298794291071807,0.143886228175594,0.114006799068413,-0.112436270765723,0.00798573795287238,0.120422008718596
"hero.uk","4",-0.0371395469494568,0.0722532886192802,0.349256035846169,-0.226847133045792,0.122408902800377,-0.0109784153881472,0.214652289549509,0.225630704937656
"hero.uk","5",-0.0350913198112701,0.158415669524355,0.19338607367425,-0.186033982980173,0.00735209069407724,0.0201060768470428,0.206032215099156,0.185926138252113
"hopl.us","4",-0.431440594511425,-0.010919859255143,0.173936213667132,-0.0331018802355398,0.140834333431592,-0.323017349252135,-0.414555507758839,-0.0915381585067039
"hopl.us","5",-0.407305035030172,-0.0184059211918888,0.350695225512524,-0.0778770608124649,0.272818164700059,-0.33927017377337,-0.40889364848776,-0.0696234747143898
"hopl.us","6",-0.425419722637709,0.00849912550561198,0.373240764200415,-0.0897737168930397,0.283467047307375,-0.362052907708339,-0.421693507988054,-0.0596406002797157
"hopl.us","7",-0.440693799991908,0.0366056199988108,0.293383834600786,-0.0673008842098872,0.226082950390898,-0.335800282687713,-0.456153682260337,-0.120353399572624
"hopl.us","8",-0.435735172410921,0.0309398449168074,0.256853321870636,-0.0333771091337648,0.223476212736871,-0.309089094007395,-0.42702744710338,-0.117938353095985
"hopl.us","9",-0.4260843953109,0.0458127886442525,0.203861861977598,0.0454017993129587,0.249263661290557,-0.275232959774674,-0.451864689551159,-0.176631729776486
"jena.de","4",-0.102278849120418,-0.195839342826616,-0.279640319939026,-0.0241688616552363,-0.303809181594263,1.07543445094721,1.29650207922662,0.221067628279409
