site_code,trt,year_trt,avg_richness,avg_richness2,avg_invsimpsons2,avg_shannons,avg_evenness_Sh,beta_invsimpsons,gamma_richness,log_spp_stab_cover,log_spp_asynch_cover,log_spatial_asynch_prod,log_alpha_stab_prod,log_gamma_stab_prod,temp_mean,temp_sd,TEMP_VAR_v2,MAP_VAR_v2,res_log_spatial_asynch_prod,res_log_alpha_stab_prod,res_log_gamma_stab_prod,resGamma_prod
hart.us,Fertilized,4,9.166666667,3.196397213,1.807398666,4.740504404,0.693214498,1.013255393,13.75,0.398945189,0.827947878,0.167880448,-0.075383702,0.092496746,158,46.32593549,747.4471651,25.01022566,-0.057693933,-0.776309934,-0.831449738,-0.839406219
hart.us,Control,4,8.833333333,3.142957954,2.161252681,5.767939865,0.781390162,1.114703558,14.25,0.324338706,1.001496517,0.017756115,-0.037073296,-0.019317181,100.875,26.7904881,747.4471651,25.01022566,-0.256511414,-0.753260419,-1.008638144,-0.925979819
hero.uk,Control,4,16,4,2.108627467,6.624545349,0.678969908,1.079356521,21,0.490758152,1.311641856,0.139972446,0.825929466,0.965901912,456.25,75.23683189,469.0680283,16.96544607,-0.168775874,0.103530009,-0.027763214,-0.108419098
hero.uk,Fertilized,4,15.41666667,3.94641896,2.097606454,6.589797805,0.679134579,1.16023009,22,0.263911019,1.660897892,0.365603151,0.81495105,1.180554201,432.25,63.06684614,469.0680283,16.96544607,0.0622539,0.05230876,0.204732176,0.115587126
hopl.us,Fertilized,4,12.66666667,3.662965013,2.417997758,6.914477344,0.720263053,1.539062105,23.75,-0.169176463,1.396047043,0.045036058,0.482423894,0.527459952,468,137.2216793,538.8322225,91.42926786,-0.269264819,-0.066262021,-0.194716394,-0.4807451
hopl.us,Control,4,19.5,4.285402219,2.914224578,10.59913926,0.772172336,1.555960543,34.75,-0.136074583,1.22211083,0.136574216,0.805441243,0.942015459,499.25,168.5227449,538.8322225,91.42926786,-0.130292076,0.070108359,-0.004465487,-0.165121604
jena.de,Control,4,18,4.169925001,2.090562675,6.346470912,0.639490084,1.317934554,25.5,0.467545337,1.354720657,0.059630297,0.773901164,0.833531461,494.75,79.98079874,667.8542884,20.43567062,-0.22672905,0.064922542,-0.143944021,-0.27749723
jena.de,Fertilized,4,16.25,4.022367813,1.871494473,5.618205832,0.603014216,1.083532391,22.5,0.443376476,1.075080337,0.280697925,1.849335615,2.13003354,499,109.3057808,667.8542884,20.43567062,0.013436869,1.132774433,1.188729321,1.03808844
kbs.us,Fertilized,4,8.333333333,3.058893689,1.355076335,3.500003419,0.520852635,1.532334452,13.75,0.233892297,2.090768806,0.122053807,0.67648915,0.798542957,322.75,31.57030385,1000.698539,24.54262668,-0.139772736,-0.056998789,-0.145184099,-0.140592097
kbs.us,Control,4,12.5,3.64385619,1.912320241,5.56272912,0.651715549,1.455652894,19.75,0.541531108,1.587191023,0.075309718,0.518698183,0.594007901,327.5,38.96897917,1000.698539,24.54262668,-0.278943477,-0.260007015,-0.51512903,-0.423264194
kilp.fi,Control,4,21.41666667,4.420662048,2.91780137,12.00684464,0.809672843,1.175713346,32,0.814409852,1.188695553,0.62395205,1.240308826,1.864260876,210.25,28.3660184,857.6129717,32.99313095,0.35639142,0.502686491,0.840633754,0.740365445
kilp.fi,Fertilized,4,20.5,4.357552005,2.781266036,10.5997405,0.765770387,1.244123994,30.5,0.35607945,0.983894232,0.185857982,1.212976306,1.398834288,247.75,64.87397174,857.6129717,32.99313095,0.014812812,0.5274624,0.497836852,0.277984353
kiny.au,Fertilized,4,9.5,3.247927513,1.491867351,3.971726431,0.558472912,1.054049629,15.25,-0.079454505,1.099760049,0.009987467,0.127619658,0.137607125,194,69.93404715,517.3570778,21.82745628,-0.23766797,-0.609546742,-0.814484385,-0.827622387
kiny.au,Control,4,9.5,3.247927513,1.378178057,3.899242657,0.532022572,1.393978423,16.75,-0.145471244,1.031284418,0.018583081,-0.120040612,-0.10145753,166.625,68.71260114,517.3570778,21.82745628,-0.259303211,-0.836598829,-1.0828649,-1.071468866
koffler.ca,Fertilized,4,6.916666667,2.790076931,1.518957292,3.85139797,0.707804114,1.186579365,10.5,0.321146358,0.883809942,0.123536199,0.95080167,1.074337869,492.75,147.6796862,1032.429739,20.41847127,-0.186664686,0.197930305,0.112086718,0.215780283
koffler.ca,Control,4,8.083333333,3.014950341,1.86500264,4.782313989,0.740312234,1.240188492,12.5,0.301958281,0.620202169,0.826755839,1.48047742,2.307233259,376.5,149.7186098,1032.429739,20.41847127,0.4375307,0.690441842,1.173152474,1.415420215
konz.us,Fertilized,4,13.66666667,3.772589504,2.198825797,6.438540389,0.706481951,1.31098126,21.5,0.593356289,1.016511601,0.066524935,1.10261466,1.169139595,614.5,122.8471672,1031.291123,51.04337179,-0.06003041,0.430856268,0.306905785,0.13936629
konz.us,Control,4,15.25,3.930737338,2.126796631,6.770093607,0.702890348,1.142575236,22.5,0.707248695,1.239142196,0.226985468,1.278075754,1.505061222,570.75,81.49652607,1031.291123,51.04337179,-0.067216225,0.479161272,0.385831358,0.447117747
marc.ar,Control,4,11.41666667,3.513069582,1.649993768,4.713108927,0.593558266,1.346267545,20.5,-0.122188069,1.448763586,0.945706465,0.725439471,1.671145936,315.75,83.79515959,464.925876,19.90021469,0.652651617,0.00140195,0.677766885,0.666119345
marc.ar,Fertilized,4,12.58333333,3.653442239,2.26976099,6.729937369,0.738065577,1.396724823,21.25,-0.099611047,1.639913542,0.098032947,1.346223781,1.444256727,363,77.79680312,464.925876,19.90021469,-0.170917801,0.590128552,0.477257576,0.440927256
mtca.au,Fertilized,4,10.16666667,3.345774837,2.099837575,5.690718264,0.738599911,1.370997081,16,0.164349429,1.462223026,0.097452236,1.080278001,1.177730237,232.5,45.71003097,534.3282043,50.66807846,0.017471718,0.423079724,0.322075094,0.228037601
mtca.au,Control,4,14.08333333,3.815916936,2.207095036,6.995151368,0.7110954,1.538921051,23.75,0.257133227,0.853150654,0.229704908,0.479263997,0.708968905,170.5,56.17385392,534.3282043,50.66807846,0.03974943,-0.244104233,-0.25672294,-0.327510191
ping.au,Fertilized,4,6.75,2.754887502,1.106316464,2.880416261,0.508843736,1.333220798,10,0.071588447,2.553308035,0.064961196,0.379834137,0.444795333,272.75,19.75998914,506.6263425,64.02326097,-0.030803004,-0.248624306,-0.37138277,-0.443607639
ping.au,Control,4,7,2.807354922,1.612240656,3.862701036,0.638007828,1.362928436,10.5,0.120455248,1.686127792,0.106109826,0.64793876,0.754048586,248.75,40.84830537,506.6263425,64.02326097,-0.085204456,-0.082917303,-0.209950139,-0.120133833
pinj.au,Fertilized,4,2.833333333,1.502500341,0.810182679,2.020514943,0.571305347,1.004243832,4.75,0.838576999,1.797076238,0.452232974,0.87353458,1.325767553,336.75,24.13559154,401.5472125,44.49884783,0.357976097,0.161880353,0.426255368,0.66659693
pinj.au,Control,4,3.833333333,1.938599455,1.081070533,2.527311446,0.721046301,1.554255089,7.25,0.171419233,1.651464374,0.178304832,0.529712047,0.708016879,350.5,56.62650142,401.5472125,44.49884783,-0.036775696,-0.215432801,-0.294083542,2.73E-05
rook.uk,Control,4,9.666666667,3.273018494,1.789638101,4.576434059,0.670411982,1.23555121,12.75,0.601689321,0.714917749,0.053538863,0.611418018,0.66495688,311.75,83.56247164,470.8669807,16.82814576,-0.255779224,-0.110622801,-0.328322413,-0.28440206
rook.uk,Fertilized,4,8.25,3.044394119,1.453467455,3.642834126,0.612943684,1.248719963,12.75,0.588637684,1.12515496,0.451758067,0.80698509,1.258743157,322.75,58.15346042,470.8669807,16.82814576,0.146747755,0.044494185,0.282793078,0.338779992
saana.fi,Control,4,21.33333333,4.415037499,3.431735214,13.80215501,0.855920317,1.190985567,35.25,0.72915011,0.753410676,0.162963342,1.045935818,1.20889916,337.75,76.68799603,908.2325491,35.55199704,-0.112206759,0.294538303,0.161735244,0.094343359
